ObjectID,Speed,Heading,Elevation,Aleket_cnt
465.0,4.278,336.0,22.2,2
466.0,3.278,350.0,22.8,2
467.0,0.407,340.0,23.6,2
468.0,2.685,333.0,24.4,2
469.0,0.388,339.0,25.2,2
470.0,2.037,329.0,25.9,3
471.0,1.481,49.0,26.5,3
472.0,2.111,332.0,27.0,2
473.0,5.167,355.0,27.5,0
474.0,2.963,344.0,27.6,1
475.0,4.0,1.0,28.4,2
476.0,2.111,340.0,29.1,1
477.0,1.87,337.0,29.7,3
478.0,0.166,351.0,30.4,2
479.0,0.518,354.0,31.1,3
480.0,5.092,344.0,32.0,3
481.0,0.407,338.0,32.8,2
482.0,0.462,341.0,33.9,3
483.0,0.111,349.0,35.2,1
484.0,2.926,356.0,36.8,1
485.0,4.037,345.0,38.2,2
486.0,0.907,344.0,39.5,2
487.0,3.278,343.0,40.6,2
488.0,2.37,324.0,41.3,2
489.0,3.778,347.0,42.2,2
490.0,3.018,358.0,43.6,3
491.0,0.981,1.0,45.0,3
492.0,0.462,339.0,46.0,3
493.0,0.222,19.0,46.8,2
494.0,0.074,244.0,47.9,2
495.0,0.907,160.0,46.9,2
496.0,0.13,171.0,45.5,2
497.0,0.333,156.0,44.3,2
498.0,0.556,173.0,43.4,2
499.0,3.371,159.0,42.1,2
500.0,0.222,177.0,40.7,2
501.0,0.37,165.0,39.2,2
502.0,4.5,164.0,37.7,1
503.0,0.093,137.0,36.2,2
504.0,1.537,169.0,35.2,2
505.0,5.186,144.0,33.7,2
506.0,1.315,336.0,32.8,3
507.0,2.482,220.0,32.0,3
508.0,3.871,201.0,31.2,3
509.0,0.056,158.0,30.5,3
510.0,3.63,152.0,29.8,3
511.0,1.815,165.0,29.0,3
512.0,5.297,160.0,28.3,2
513.0,1.185,209.0,27.6,3
514.0,0.519,176.0,27.0,3
515.0,3.556,166.0,26.5,3
516.0,0.222,152.0,25.8,3
517.0,4.408,172.0,25.3,3
518.0,0.296,184.0,24.4,2
519.0,0.741,169.0,23.7,1
520.0,2.241,143.0,22.9,1
521.0,0.167,181.0,22.3,1
522.0,0.259,157.0,21.8,1
523.0,1.296,195.0,21.3,1
524.0,0.167,162.0,21.0,2
525.0,0.185,144.0,20.7,2
526.0,4.649,167.0,20.4,3
527.0,1.222,185.0,20.5,3
528.0,3.13,154.0,20.1,2
