ObjectID,Speed,Heading,Elevation,Attrib_1
452.0,0.259,115.0,-37.5,2.0
453.0,0.111,98.0,-37.5,2.0
454.0,0.888,122.0,-37.9,3.0
455.0,0.407,113.0,-38.0,3.0
456.0,0.203,125.0,-38.2,2.0
457.0,0.351,105.0,-38.3,1.0
458.0,0.277,115.0,-38.6,1.0
459.0,0.592,104.0,-38.7,1.0
460.0,0.388,196.0,-39.1,1.0
461.0,0.111,175.0,-39.1,1.0
462.0,0.314,115.0,-39.3,1.0
463.0,0.296,133.0,-39.7,1.0
464.0,1.518,104.0,-39.9,1.0
465.0,0.185,128.0,-39.9,2.0
466.0,0.111,108.0,-40.2,3.0
467.0,0.222,202.0,-40.2,2.0
468.0,0.629,148.0,-40.3,2.0
469.0,0.611,98.0,-40.6,2.0
470.0,0.907,235.0,-40.8,2.0
471.0,0.37,96.0,-41.1,2.0
472.0,0.074,103.0,-41.1,1.0
473.0,2.296,100.0,-41.2,2.0
474.0,0.092,226.0,-41.4,1.0
475.0,0.148,159.0,-41.6,1.0
476.0,0.185,138.0,-41.9,0.0
477.0,0.425,75.0,-42.0,0.0
478.0,0.166,65.0,-42.2,1.0
479.0,0.222,159.0,-42.4,1.0
480.0,1.092,256.0,-42.5,2.0
481.0,0.092,128.0,-42.7,1.0
482.0,3.629,107.0,-42.7,1.0
483.0,0.092,139.0,-42.6,1.0
484.0,0.24,107.0,-42.8,2.0
485.0,2.203,101.0,-43.2,3.0
486.0,4.796,107.0,-43.4,3.0
487.0,0.851,118.0,-43.7,3.0
488.0,0.203,196.0,-43.7,2.0
489.0,0.314,293.0,-43.6,3.0
490.0,0.277,101.0,-43.8,3.0
491.0,4.018,123.0,-44.1,3.0
492.0,5.426,110.0,-44.3,3.0
493.0,3.555,104.0,-44.5,3.0
494.0,0.314,100.0,-44.4,3.0
495.0,0.314,108.0,-44.6,2.0
496.0,0.814,115.0,-44.9,2.0
497.0,0.166,116.0,-45.1,2.0
498.0,0.777,96.0,-45.2,2.0
499.0,0.185,87.0,-45.7,2.0
500.0,0.129,122.0,-45.9,2.0
501.0,2.852,96.0,-46.0,2.0
502.0,1.203,166.0,-46.2,2.0
503.0,0.166,202.0,-46.2,2.0
504.0,0.425,100.0,-46.4,2.0
505.0,3.37,101.0,-46.8,3.0
506.0,0.129,98.0,-46.8,3.0
507.0,3.481,97.0,-47.0,3.0
508.0,0.203,104.0,-47.0,3.0
509.0,0.388,106.0,-47.1,3.0
510.0,0.333,107.0,-47.2,0.0
511.0,0.074,107.0,-47.2,1.0
512.0,0.444,101.0,-47.3,1.0
513.0,0.148,123.0,-47.7,1.0
514.0,1.574,102.0,-47.7,3.0
515.0,0.092,97.0,-47.7,3.0
516.0,0.296,99.0,-48.0,3.0
517.0,0.963,113.0,-48.1,3.0
518.0,0.129,108.0,-48.1,3.0
519.0,0.592,103.0,-48.3,3.0
520.0,0.111,104.0,-48.6,2.0
521.0,0.055,183.0,-48.6,2.0
522.0,3.296,95.0,-49.0,3.0
523.0,0.388,107.0,-49.0,3.0
524.0,0.388,109.0,-48.9,3.0
525.0,0.759,110.0,-49.4,3.0
526.0,5.055,121.0,-49.6,3.0
527.0,0.148,95.0,-49.8,3.0
528.0,0.092,104.0,-50.0,3.0
529.0,0.37,116.0,-50.1,3.0
530.0,0.574,90.0,-50.2,3.0
531.0,0.462,107.0,-50.2,1.0
532.0,0.185,18.0,-50.6,1.0
533.0,0.129,319.0,-50.5,3.0
534.0,0.222,276.0,-50.2,3.0
535.0,0.055,303.0,-50.1,3.0
536.0,1.092,13.0,-49.7,3.0
537.0,1.74,277.0,-49.8,3.0
538.0,0.018,280.0,-49.5,3.0
539.0,4.629,294.0,-49.1,3.0
540.0,0.407,308.0,-49.0,3.0
541.0,1.481,311.0,-48.8,3.0
