OBJECTID,Od,Aleket,Commends,X,Y
301,1271.000000000000000,2.000000000000000, ,236365.259999999780000,720801.140000000600000
302,1272.000000000000000,2.000000000000000, ,236377.339999999850000,720801.599999999630000
303,1273.000000000000000,2.000000000000000, ,236388.299999999810000,720801.689999999480000
304,1274.000000000000000,3.000000000000000, ,236399.240000000220000,720801.689999999480000
305,1275.000000000000000,3.000000000000000, ,236411.360000000340000,720800.929999999700000
306,1276.000000000000000,3.000000000000000, ,236423.349999999630000,720801.699999999250000
307,1277.000000000000000,2.000000000000000, ,236435.009999999780000,720801.810000000520000
308,1278.000000000000000,2.000000000000000, ,236446.339999999850000,720802.580000000070000
309,1279.000000000000000,2.000000000000000, ,236447.690000000410000,720778.519999999550000
310,1280.000000000000000,3.000000000000000, ,236436.139999999660000,720778.849999999630000
311,1281.000000000000000,3.000000000000000, ,236423.169999999930000,720778.500000000000000
312,1282.000000000000000,3.000000000000000, ,236410.610000000340000,720777.980000000450000
313,1283.000000000000000,3.000000000000000, ,236399.280000000260000,720777.769999999550000
314,1284.000000000000000,3.000000000000000, ,236387.740000000220000,720777.779999999330000
315,1285.000000000000000,2.000000000000000, ,236375.209999999960000,720777.890000000600000
316,1286.000000000000000,3.000000000000000, ,236361.580000000070000,720777.609999999400000
317,1287.000000000000000,3.000000000000000, ,236351.730000000450000,720777.589999999850000
318,1288.000000000000000,3.000000000000000, ,236340.290000000040000,720777.699999999250000
319,1289.000000000000000,3.000000000000000, ,236329.110000000340000,720777.990000000220000
320,1290.000000000000000,3.000000000000000, ,236318.830000000070000,720777.960000000890000
321,1291.000000000000000,2.000000000000000, ,236307.740000000220000,720777.779999999330000
322,1292.000000000000000,2.000000000000000, ,236296.190000000410000,720777.939999999480000
323,1293.000000000000000,2.000000000000000, ,236284.830000000070000,720778.140000000600000
324,1294.000000000000000,2.000000000000000, ,236273.169999999930000,720778.029999999330000
325,1295.000000000000000,1.000000000000000, ,236261.820000000300000,720778.109999999400000
326,1296.000000000000000,2.000000000000000, ,236251.110000000340000,720777.869999999180000
327,1297.000000000000000,1.000000000000000, ,236239.049999999810000,720777.869999999180000
328,1298.000000000000000,1.000000000000000, ,236226.929999999700000,720777.730000000450000
329,1299.000000000000000,1.000000000000000, ,236214.480000000450000,720777.750000000000000
330,1300.000000000000000,1.000000000000000, ,236202.389999999660000,720777.800000000750000
331,1301.000000000000000,1.000000000000000, ,236190.179999999700000,720777.470000000670000
332,1302.000000000000000,1.000000000000000, ,236180.169999999930000,720777.470000000670000
333,1303.000000000000000,1.000000000000000, ,236168.950000000190000,720777.910000000150000
334,1304.000000000000000,1.000000000000000, ,236157.839999999850000,720777.519999999550000
335,1305.000000000000000,1.000000000000000, ,236146.160000000150000,720777.509999999780000
336,1306.000000000000000,1.000000000000000, ,236133.929999999700000,720777.490000000220000
337,1307.000000000000000,1.000000000000000, ,236122.889999999660000,720777.500000000000000
338,1308.000000000000000,1.000000000000000, ,236109.719999999740000,720777.419999999930000
