"FID_","x","y","_cm","_cm_1","Q","SAT","HDOP","Elevation","cm_110msim","cm_50msim"
,35.247783,32.624121,150.939000,112.783000,8.000000,7.000000,1.100000,56.856000,1.508999,1.128000
,35.247772,32.624102,147.853000,111.182000,8.000000,7.000000,1.100000,56.797000,1.478999,1.111999
,35.247760,32.624081,148.165000,111.573000,8.000000,7.000000,1.100000,56.887000,1.481999,1.116000
,35.247748,32.624060,146.173000,109.385000,8.000000,7.000000,1.100000,56.877000,1.462000,1.093999
,35.247735,32.624041,147.189000,110.127000,8.000000,7.000000,1.100000,56.715000,1.472000,1.100999
,35.247723,32.624023,148.985000,110.987000,8.000000,7.000000,1.100000,56.556000,1.490000,1.110000
,35.247711,32.624000,148.439000,110.283000,8.000000,7.000000,1.100000,56.518000,1.483999,1.103000
,35.247698,32.623981,151.876000,113.643000,8.000000,7.000000,1.100000,56.491000,1.519000,1.136000
,35.247687,32.623961,156.564000,117.041000,8.000000,7.000000,1.100000,56.496000,1.565999,1.169999
,35.247675,32.623942,154.532000,114.580000,8.000000,7.000000,1.100000,56.462000,1.544999,1.146000
,35.247663,32.623920,154.610000,114.541000,8.000000,7.000000,1.100000,56.298000,1.546000,1.144999
,35.247652,32.623901,148.673000,110.127000,8.000000,7.000000,1.100000,56.500000,1.486999,1.100999
,35.247640,32.623881,147.384000,108.760000,8.000000,7.000000,1.100000,56.549000,1.473999,1.088000
,35.247628,32.623862,145.587000,107.823000,8.000000,7.000000,1.100000,56.359000,1.455999,1.077999
,35.247616,32.623842,145.743000,108.408000,8.000000,7.000000,1.100000,56.469000,1.457000,1.083999
,35.247603,32.623824,147.189000,108.721000,8.000000,7.000000,1.100000,56.349000,1.472000,1.087000
,35.247591,32.623803,149.454000,111.065000,8.000000,7.000000,1.100000,56.379000,1.495000,1.110999
,35.247580,32.623781,150.196000,110.479000,8.000000,7.000000,1.100000,56.500000,1.501999,1.105000
,35.247568,32.623760,150.900000,111.963000,8.000000,7.000000,1.100000,56.410000,1.508999,1.120000
,35.247555,32.623740,154.298000,114.463000,8.000000,7.000000,1.100000,56.304000,1.542999,1.144999
,35.247544,32.623718,153.712000,113.135000,8.000000,7.000000,1.100000,56.269000,1.536999,1.131000
,35.247531,32.623697,151.017000,111.924000,8.000000,7.000000,1.100000,56.272000,1.509999,1.118999
,35.247518,32.623674,155.040000,114.932000,8.000000,7.000000,1.100000,56.188000,1.549999,1.149000
,35.247507,32.623653,161.720000,120.010000,8.000000,7.000000,1.100000,55.993000,1.616999,1.200000
,35.247494,32.623631,159.259000,118.838000,8.000000,7.000000,1.200000,56.045000,1.593000,1.187999
,35.247482,32.623612,160.587000,118.330000,8.000000,7.000000,1.300000,56.334000,1.605999,1.182999
,35.247469,32.623590,160.040000,117.627000,8.000000,7.000000,1.300000,56.346000,1.600000,1.175999
,35.247459,32.623572,158.868000,115.323000,8.000000,7.000000,1.300000,56.368000,1.588999,1.152999
,35.247446,32.623551,158.556000,117.080000,8.000000,7.000000,1.300000,56.324000,1.585999,1.171000
,35.247434,32.623532,161.368000,118.369000,8.000000,7.000000,1.300000,56.198000,1.613999,1.184000
,35.247423,32.623512,164.532000,121.221000,8.000000,7.000000,1.300000,56.359000,1.644999,1.212000
,35.247412,32.623491,167.814000,121.729000,8.000000,7.000000,1.300000,56.354000,1.677999,1.217000
,35.247400,32.623470,169.493000,124.424000,8.000000,7.000000,1.300000,56.303000,1.695000,1.243999
,35.247388,32.623451,167.657000,121.612000,8.000000,7.000000,1.200000,56.310000,1.677000,1.215999
